0,0.1561,0.1667,1410.75,912.85,0.9950
2,0.2231,0.2333,1493.18,847.60,0.9851
3,0.2823,0.3000,1451.14,798.37,0.9801
8,0.2829,0.3000,1474.15,766.12,0.9559
9,0.3478,0.3667,1470.52,846.32,0.9511
24,0.3846,0.4000,1437.02,722.20,0.8822
57,0.4125,0.4333,1453.47,789.22,0.7477
58,0.4698,0.5000,1452.68,781.15,0.7440
79,0.5099,0.5333,1417.90,768.62,0.6696
100,0.6052,0.6333,1313.20,733.05,0.6027
147,0.6436,0.6667,1364.78,748.04,0.4762
193,0.6991,0.7333,1396.83,817.09,0.3782
205,0.7472,0.7667,1389.09,714.80,0.3561
222,0.7499,0.7667,1310.22,724.44,0.3270
235,0.7850,0.8000,1362.73,755.36,0.3064
261,0.8513,0.8667,1350.94,733.31,0.2689
367,0.8514,0.8667,1329.70,765.07,0.1581
379,0.9190,0.9333,1214.53,769.00,0.1489
413,0.9212,0.9333,1331.53,728.36,0.1255
440,0.9522,0.9667,1331.85,769.00,0.1096
504,0.9845,1.0000,1342.69,769.00,0.0796
584,0.9855,1.0000,1338.53,769.00,0.0533
645,0.9857,1.0000,1309.13,769.00,0.0392
646,0.9871,1.0000,1308.80,740.34,0.0390
699,0.9873,1.0000,1322.58,769.00,0.0299
