Episode 0 | Total Reward: 0.83 | Total Fitness: 0.85 | Total Distance: 1387.33 | Total Time: 745.95 | Total Success : 0.87 | Epsilon: 0.995
Episode 5 | Total Reward: 0.86 | Total Fitness: 0.88 | Total Distance: 1406.09 | Total Time: 802.77 | Total Success : 0.90 | Epsilon: 0.970
Episode 7 | Total Reward: 0.90 | Total Fitness: 0.89 | Total Distance: 1359.99 | Total Time: 755.51 | Total Success : 0.93 | Epsilon: 0.961
Episode 9 | Total Reward: 0.93 | Total Fitness: 0.92 | Total Distance: 1235.07 | Total Time: 761.17 | Total Success : 0.97 | Epsilon: 0.951
Episode 23 | Total Reward: 0.93 | Total Fitness: 0.92 | Total Distance: 1369.18 | Total Time: 724.89 | Total Success : 0.97 | Epsilon: 0.887
Episode 44 | Total Reward: 0.96 | Total Fitness: 0.94 | Total Distance: 1327.78 | Total Time: 724.89 | Total Success : 1.00 | Epsilon: 0.798
Episode 218 | Total Reward: 0.96 | Total Fitness: 0.95 | Total Distance: 1349.73 | Total Time: 751.45 | Total Success : 0.97 | Epsilon: 0.334
Episode 394 | Total Reward: 0.96 | Total Fitness: 0.92 | Total Distance: 1317.04 | Total Time: 742.21 | Total Success : 0.97 | Epsilon: 0.138
Episode 722 | Total Reward: 0.97 | Total Fitness: 0.94 | Total Distance: 1341.19 | Total Time: 759.47 | Total Success : 1.00 | Epsilon: 0.027
Episode 733 | Total Reward: 0.98 | Total Fitness: 0.94 | Total Distance: 1371.10 | Total Time: 758.67 | Total Success : 1.00 | Epsilon: 0.025
